2_1	        34	    2
2_1	        34	    3
2_1	        34	    4
2_1	        35	    5
2_1	        35	    6
2_1	        36	    7
2_1	        36	    8
2_1	        37	    9
2_1	        37	   10
2_1	        38	   11
2_1	        38	   12
2_1	        38	   13
2_1	        39	   14
2_1	        39	   15
2_1	        40	   16
2_1	        40	   17
2_1	        40	   18
2_1	        41	   19
2_1	        41	   19
2_1	        41	   20
2_1	        42	   20
2_1	        42	    1
2_1	        43	    1
2_1	        43	    1
2_1	        43	    1
2_1	        44	    1
2_1	        44	    1
2_1	        45	    1
2_1	        45	    1
2_1	        45	    1
2_1	        46	    2
2_1	        46	    2
2_1	        47	    2
2_1	        47	    2
2_1	        48	    2
2_1	        48	    2
2_1	        49	    3
2_1	        50	    3
2_1	        51	    3
2_1	        51	    3
2_1	        52	    4
2_1	        53	    4
2_1	        54	    4
2_1	        55	    5
2_1	        55	    5
2_1	        56	    5
2_1	        58	    1
2_1	        58	    2
2_1	        58	    2
2_1	        60	    1
2_1	        61	    1
2_1	        62	    1
2_1	        62	    2
2_1	        62	    2
2_1	        65	    1
2_1	        65	    2
2_1	        66	    2
2_1	        68	    3
2_1	        69	    3
2_1	        70	    3
2_1	        71	    4
2_1	        71	    4
2_1	        72	    4
2_1	        73	    4
2_1	        74	    5
2_1	        74	    5
2_1	        75	    5
2_1	        76	    5
2_1	        77	    6
2_1	        77	    6
2_1	        77	    6
2_1	        78	    6
2_1	        79	    6
2_1	        80	    7
2_1	        80	    7
2_1	        80	    7
2_1	        81	    7
2_1	        81	    7
2_1	        82	    7
2_1	        83	    8
2_1	        83	    8
2_1	        83	    8
2_1	        84	    8
2_1	        84	    8
2_1	        85	    1
2_1	        85	    2
2_1	        85	    3
2_1	        86	    4
2_1	        86	    4
2_1	        87	    4
2_1	        87	    4
2_1	        88	    4
2_1	        88	    4
2_1	        89	    1
2_1	        90	    1
2_1	        90	    1
2_1	        90	    1
2_1	        91	    2
2_1	        91	    2
2_1	        92	    2
2_1	        92	    2
2_1	        94	    1
2_1	        94	    1
2_1	        95	    2
2_1	        95	    2
2_1	        98	    3
2_1	        98	    3
2_1	       101	    4
2_1	       101	    4
2_1	       102	    4
2_1	       103	    4
2_1	       103	    4
2_1	       103	    4
2_1	       104	    5
2_1	       105	    5
2_1	       106	    5
2_1	       106	    5
2_1	       106	    5
2_1	       107	    6
2_1	       108	    6
2_1	       109	    6
2_1	       109	    6
2_1	       109	    6
2_1	       110	    7
2_1	       110	    7
2_1	       111	    7
2_1	       112	    7
2_1	       113	    1
2_1	       113	    2
2_1	       114	    3
2_1	       114	    3
2_1	       115	    1
2_1	       116	    1
2_1	       116	    1
2_1	       117	    1
2_1	       117	    2
2_1	       118	    2
2_1	       118	    2
